p,o,f,g,sp,plant,week,sample,rh,prcp,tempavg,tempmax,smobs,seqct
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium sp.,#9,1,#9.1,68.5,0.32,73.1,89,0,2
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium sp.,#9,1,#9.1,68.5,0.32,73.1,89,0,4
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans,#9,1,#9.1,68.5,0.32,73.1,89,0,56
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans,#9,1,#9.1,68.5,0.32,73.1,89,0,16
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans,#9,1,#9.1,68.5,0.32,73.1,89,0,3
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans,#9,1,#9.1,68.5,0.32,73.1,89,0,699
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans,#9,1,#9.1,68.5,0.32,73.1,89,0,0
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans,#9,1,#9.1,68.5,0.32,73.1,89,0,0
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans,#9,1,#9.1,68.5,0.32,73.1,89,0,3
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans,#9,1,#9.1,68.5,0.32,73.1,89,0,0
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans,#9,1,#9.1,68.5,0.32,73.1,89,0,0
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans,#9,1,#9.1,68.5,0.32,73.1,89,0,14
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans,#9,1,#9.1,68.5,0.32,73.1,89,0,10
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans,#9,1,#9.1,68.5,0.32,73.1,89,0,173
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans,#9,1,#9.1,68.5,0.32,73.1,89,0,0
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans,#9,1,#9.1,68.5,0.32,73.1,89,0,5
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans,#9,1,#9.1,68.5,0.32,73.1,89,0,0
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans,#9,1,#9.1,68.5,0.32,73.1,89,0,2
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans,#9,1,#9.1,68.5,0.32,73.1,89,0,2477
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium leucospermi,#9,1,#9.1,68.5,0.32,73.1,89,0,4
Basidiomycota,Erythrobasidiales,Erythrobasidiaceae,Bannoa,Bannoa sp.,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Basidiomycota,Erythrobasidiales,Erythrobasidiaceae,Bannoa,Bannoa sp.,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Basidiomycota,Erythrobasidiales,Erythrobasidiaceae,Bannoa,Bannoa sp.,#9,1,#9.1,68.5,0.32,73.1,89,0,48
Basidiomycota,Erythrobasidiales,Erythrobasidiaceae,Bannoa,Bannoa sp.,#9,1,#9.1,68.5,0.32,73.1,89,0,0
Ascomycota,Chaetothyriales,Trichomeriaceae,Bradymyces,Bradymyces sp.,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Chaetothyriales,Trichomeriaceae,Bradymyces,Bradymyces sp.,#9,1,#9.1,68.5,0.32,73.1,89,0,0
Basidiomycota,Buckleyzymales,Buckleyzymaceae,Buckleyzyma ,Buckleyzyma aurantiaca,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Basidiomycota,Buckleyzymales,Buckleyzymaceae,Buckleyzyma ,Buckleyzyma sp.,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Basidiomycota,Buckleyzymales,Buckleyzymaceae,Buckleyzyma ,Buckleyzyma aurantiaca,#9,1,#9.1,68.5,0.32,73.1,89,0,17
Basidiomycota,Buckleyzymales,Buckleyzymaceae,Buckleyzyma ,Buckleyzyma sp.,#9,1,#9.1,68.5,0.32,73.1,89,0,6
Basidiomycota,Tremellales,Bulleribasidiaceae,Bullera,Bullera coprosmae,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Basidiomycota,Tremellales,Bulleribasidiaceae,Bullera,Bullera oryzae,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Basidiomycota,Tremellales,Bulleraceae,Bullera,Bullera alba,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Basidiomycota,Tremellales,Bulleribasidiaceae,Bullera,Bullera coprosmae,#9,1,#9.1,68.5,0.32,73.1,89,0,8
Basidiomycota,Tremellales,Bulleribasidiaceae,Bullera,Bullera oryzae,#9,1,#9.1,68.5,0.32,73.1,89,0,19
Basidiomycota,Tremellales,Bulleraceae,Bullera,Bullera alba,#9,1,#9.1,68.5,0.32,73.1,89,0,22
Basidiomycota,Tremellales,Bulleribasidiaceae,Bulleribasidium,Bulleribasidium sp.,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Basidiomycota,Tremellales,Bulleribasidiaceae,Bulleribasidium,Bulleribasidium sp.,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Basidiomycota,Tremellales,Bulleribasidiaceae,Bulleribasidium,Bulleribasidium oberjochense,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Basidiomycota,Tremellales,Bulleribasidiaceae,Bulleribasidium,Bulleribasidium sp.,#9,1,#9.1,68.5,0.32,73.1,89,0,0
Basidiomycota,Tremellales,Bulleribasidiaceae,Bulleribasidium,Bulleribasidium sp.,#9,1,#9.1,68.5,0.32,73.1,89,0,1
Basidiomycota,Tremellales,Bulleribasidiaceae,Bulleribasidium,Bulleribasidium oberjochense,#9,1,#9.1,68.5,0.32,73.1,89,0,1
Ascomycota,Helotiales,Dermateaceae,Calloria,Calloria urticae,#11,1,#11.1,68.5,0.32,73.1,89,0,9
Ascomycota,Helotiales,Dermateaceae,Calloria,Calloria urticae,#11,1,#11.1,68.5,0.32,73.1,89,0,3
Ascomycota,Helotiales,Dermateaceae,Calloria,Calloria urticae,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Helotiales,Dermateaceae,Calloria,Calloria urticae,#9,1,#9.1,68.5,0.32,73.1,89,0,11
Ascomycota,Helotiales,Dermateaceae,Calloria,Calloria urticae,#9,1,#9.1,68.5,0.32,73.1,89,0,3
Ascomycota,Helotiales,Dermateaceae,Calloria,Calloria urticae,#9,1,#9.1,68.5,0.32,73.1,89,0,1
Ascomycota,Pleosporales,Pleosporales incertae sedis,Camarographium,Camarographium sp. ,#11,1,#11.1,68.5,0.32,73.1,89,0,42
Ascomycota,Pleosporales,Pleosporales incertae sedis,Camarographium,Camarographium sp. ,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Pleosporales,Pleosporales incertae sedis,Camarographium,Camarographium sp. ,#9,1,#9.1,68.5,0.32,73.1,89,0,4
Ascomycota,Pleosporales,Pleosporales incertae sedis,Camarographium,Camarographium sp. ,#9,1,#9.1,68.5,0.32,73.1,89,0,0
Ascomycota,Mycosphaerellales,Teratosphaeriaceae,Capnobotryella,Capnobotyrella sp.,#11,1,#11.1,68.5,0.32,73.1,89,0,7
Ascomycota,Mycosphaerellales,Teratosphaeriaceae,Capnobotryella,Capnobotyrella sp.,#9,1,#9.1,68.5,0.32,73.1,89,0,40
Ascomycota,Mycosphaerellales,Mycosphaerellaceae,Cercospora,Cercospora tetragoniae,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Mycosphaerellales,Mycosphaerellaceae,Cercospora,Cercospora tetragoniae,#9,1,#9.1,68.5,0.32,73.1,89,0,14
Ascomycota,Pleosporales,Phaeosphaeriaceae,Chaetosphaeronema,Chaetosphaeronema sp. ,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Pleosporales,Phaeosphaeriaceae,Chaetosphaeronema,Chaetosphaeronema sp. ,#9,1,#9.1,68.5,0.32,73.1,89,0,1
Ascomycota,Cladosporiales,Cladosporiaceae,Cladosporium,Cladosporium sp.,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Cladosporiales,Cladosporiaceae,Cladosporium,Cladosporium sp.,#11,1,#11.1,68.5,0.32,73.1,89,0,1
Ascomycota,Cladosporiales,Cladosporiaceae,Cladosporium,Cladosporium sp.,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Cladosporiales,Cladosporiaceae,Cladosporium,Cladosporium sp.,#9,1,#9.1,68.5,0.32,73.1,89,0,0
Ascomycota,Cladosporiales,Cladosporiaceae,Cladosporium,Cladosporium sp.,#9,1,#9.1,68.5,0.32,73.1,89,0,0
Ascomycota,Cladosporiales,Cladosporiaceae,Cladosporium,Cladosporium sp.,#9,1,#9.1,68.5,0.32,73.1,89,0,0
Ascomycota,Pleosporales,Coniothyriaceae,Coniothyrium,Coniothyrium sp. ,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Pleosporales,Coniothyriaceae,Coniothyrium,Coniothyrium sp. ,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Pleosporales,Coniothyriaceae,Coniothyrium,Coniothyrium sp. ,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Pleosporales,Coniothyriaceae,Coniothyrium,Coniothyrium sp. ,#9,1,#9.1,68.5,0.32,73.1,89,0,3
Ascomycota,Pleosporales,Coniothyriaceae,Coniothyrium,Coniothyrium sp. ,#9,1,#9.1,68.5,0.32,73.1,89,0,4
Ascomycota,Pleosporales,Coniothyriaceae,Coniothyrium,Coniothyrium sp. ,#9,1,#9.1,68.5,0.32,73.1,89,0,0
Basidiomycota,Agaricales,Crepidotaceae,Crepidotus,Crepidotus novae-zealandiae,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Basidiomycota,Agaricales,Crepidotaceae,Crepidotus,Crepidotus novae-zealandiae,#9,1,#9.1,68.5,0.32,73.1,89,0,11
Basidiomycota,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus sp. ,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Basidiomycota,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus sp. ,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Basidiomycota,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus sp. ,#11,1,#11.1,68.5,0.32,73.1,89,0,1
Basidiomycota,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus sp.,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Basidiomycota,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus sp.,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Basidiomycota,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus sp. ,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Basidiomycota,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus sp.,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Basidiomycota,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus sp. ,#9,1,#9.1,68.5,0.32,73.1,89,0,0
Basidiomycota,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus sp. ,#9,1,#9.1,68.5,0.32,73.1,89,0,2
Basidiomycota,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus sp. ,#9,1,#9.1,68.5,0.32,73.1,89,0,84
Basidiomycota,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus sp.,#9,1,#9.1,68.5,0.32,73.1,89,0,5
Basidiomycota,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus sp.,#9,1,#9.1,68.5,0.32,73.1,89,0,0
Basidiomycota,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus sp. ,#9,1,#9.1,68.5,0.32,73.1,89,0,30
Basidiomycota,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus sp.,#9,1,#9.1,68.5,0.32,73.1,89,0,0
Ascomycota,Pleosporales,Pleosporaceae,Curvularia,Curvularia sp.,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Pleosporales,Pleosporaceae,Curvularia,Curvularia coatesiae,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Pleosporales,Pleosporaceae,Curvularia,Curvularia clavata,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Pleosporales,Pleosporaceae,Curvularia,Curvularia sp.,#9,1,#9.1,68.5,0.32,73.1,89,0,2
Ascomycota,Pleosporales,Pleosporaceae,Curvularia,Curvularia coatesiae,#9,1,#9.1,68.5,0.32,73.1,89,0,0
Ascomycota,Pleosporales,Pleosporaceae,Curvularia,Curvularia clavata,#9,1,#9.1,68.5,0.32,73.1,89,0,6
Basidiomycota,Tremellales,Bulleribasidiaceae,Derxomyces,Derxomyces simaoensis,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Basidiomycota,Tremellales,Bulleribasidiaceae,Derxomyces,Derxomyces simaoensis,#9,1,#9.1,68.5,0.32,73.1,89,0,13
Ascomycota,Mycosphaerellales,Teratosphaeriaceae,Devriesia,Devriesia sp.,#11,1,#11.1,68.5,0.32,73.1,89,0,1
Ascomycota,Mycosphaerellales,Teratosphaeriaceae,Devriesia,Devriesia sp.,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Mycosphaerellales,Teratosphaeriaceae,Devriesia,Devriesia sp.,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Mycosphaerellales,Teratosphaeriaceae,Devriesia,Devriesia sp.,#9,1,#9.1,68.5,0.32,73.1,89,0,6
Ascomycota,Mycosphaerellales,Teratosphaeriaceae,Devriesia,Devriesia sp.,#9,1,#9.1,68.5,0.32,73.1,89,0,13
Ascomycota,Mycosphaerellales,Teratosphaeriaceae,Devriesia,Devriesia sp.,#9,1,#9.1,68.5,0.32,73.1,89,0,0
Ascomycota,Pleosporales,Didymellaceae,Didymella,Didymella sp.,#11,1,#11.1,68.5,0.32,73.1,89,0,2
Ascomycota,Pleosporales,Didymellaceae,Didymella,Didymella sp. ,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Pleosporales,Didymellaceae,Didymella,Didymella bellidis,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Pleosporales,Didymellaceae,Didymella,Didymella bellidis,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Pleosporales,Didymellaceae,Didymella,Didymella pinodella,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Pleosporales,Didymellaceae,Didymella,Didymella bellidis,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Pleosporales,Didymellaceae,Didymella,Didymella sp.,#9,1,#9.1,68.5,0.32,73.1,89,0,8
Ascomycota,Pleosporales,Didymellaceae,Didymella,Didymella sp. ,#9,1,#9.1,68.5,0.32,73.1,89,0,3
Ascomycota,Pleosporales,Didymellaceae,Didymella,Didymella bellidis,#9,1,#9.1,68.5,0.32,73.1,89,0,13
Ascomycota,Pleosporales,Didymellaceae,Didymella,Didymella bellidis,#9,1,#9.1,68.5,0.32,73.1,89,0,7
Ascomycota,Pleosporales,Didymellaceae,Didymella,Didymella pinodella,#9,1,#9.1,68.5,0.32,73.1,89,0,0
Ascomycota,Pleosporales,Didymellaceae,Didymella,Didymella bellidis,#9,1,#9.1,68.5,0.32,73.1,89,0,29
Basidiomycota,Tremellales,Naemateliaceae,Dimennazyma,Dimennazyma cisti-albidi,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Basidiomycota,Tremellales,Naemateliaceae,Dimennazyma,Dimennazyma cisti-albidi,#9,1,#9.1,68.5,0.32,73.1,89,0,0
Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia sp. ,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia sp. ,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia sp.,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia sp.,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia sp. ,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia sp.,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia changbaiensis,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia zsoltii,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia hungaria,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia catarinonii,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia takashimae,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia sp. ,#9,1,#9.1,68.5,0.32,73.1,89,0,89
Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia sp. ,#9,1,#9.1,68.5,0.32,73.1,89,0,3
Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia sp.,#9,1,#9.1,68.5,0.32,73.1,89,0,40
Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia sp.,#9,1,#9.1,68.5,0.32,73.1,89,0,6
Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia sp. ,#9,1,#9.1,68.5,0.32,73.1,89,0,0
Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia sp.,#9,1,#9.1,68.5,0.32,73.1,89,0,0
Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia changbaiensis,#9,1,#9.1,68.5,0.32,73.1,89,0,2
Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia zsoltii,#9,1,#9.1,68.5,0.32,73.1,89,0,4
Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia hungaria,#9,1,#9.1,68.5,0.32,73.1,89,0,7
Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia catarinonii,#9,1,#9.1,68.5,0.32,73.1,89,0,0
Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia takashimae,#9,1,#9.1,68.5,0.32,73.1,89,0,0
Ascomycota,Botryosphaeriales,Botryosphaeriaceae,Diplodia,Diplodia sp. ,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Botryosphaeriales,Botryosphaeriaceae,Diplodia,Diplodia sp. ,#9,1,#9.1,68.5,0.32,73.1,89,0,4
Ascomycota,Dothideales,Dothioraceae,Dothiora,Dothiora maculans,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Dothideales,Dothioraceae,Dothiora,Dothiora prunorum,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Dothideales,Dothioraceae,Dothiora,Dothiora maculans,#9,1,#9.1,68.5,0.32,73.1,89,0,9
Ascomycota,Dothideales,Dothioraceae,Dothiora,Dothiora prunorum,#9,1,#9.1,68.5,0.32,73.1,89,0,0
Ascomycota,Botryosphaeriales,Botryosphaeriaceae,Dothiorella,Dothiorella gregaria,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Botryosphaeriales,Botryosphaeriaceae,Dothiorella,Dothiorella gregaria,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Botryosphaeriales,Botryosphaeriaceae,Dothiorella,Dothoriella gregaria,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Botryosphaeriales,Botryosphaeriaceae,Dothiorella,Dothiorella gregaria,#9,1,#9.1,68.5,0.32,73.1,89,0,20
Ascomycota,Botryosphaeriales,Botryosphaeriaceae,Dothiorella,Dothiorella gregaria,#9,1,#9.1,68.5,0.32,73.1,89,0,11
Ascomycota,Botryosphaeriales,Botryosphaeriaceae,Dothiorella,Dothoriella gregaria,#9,1,#9.1,68.5,0.32,73.1,89,0,3
Ascomycota,Pleosporales,Didymellaceae,Epicoccum,Epicoccum sp.,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Pleosporales,Didymellaceae,Epicoccum,Epicoccum sp.,#11,1,#11.1,68.5,0.32,73.1,89,0,3
Ascomycota,Pleosporales,Didymellaceae,Epicoccum,Epicoccum sp.,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Pleosporales,Didymellaceae,Epicoccum,Epicoccum nigrum,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Pleosporales,Didymellaceae,Epicoccum,Epicoccum nigrum,#11,1,#11.1,68.5,0.32,73.1,89,0,6
Ascomycota,Pleosporales,Didymellaceae,Epicoccum,Epicoccum sp.,#9,1,#9.1,68.5,0.32,73.1,89,0,1
Ascomycota,Pleosporales,Didymellaceae,Epicoccum,Epicoccum sp.,#9,1,#9.1,68.5,0.32,73.1,89,0,3
Ascomycota,Pleosporales,Didymellaceae,Epicoccum,Epicoccum sp.,#9,1,#9.1,68.5,0.32,73.1,89,0,0
Ascomycota,Pleosporales,Didymellaceae,Epicoccum,Epicoccum nigrum,#9,1,#9.1,68.5,0.32,73.1,89,0,1
